Date,Price,Open,High,Low,Change %
"Jun 09, 2004",1131.30,1142.20,1142.20,1131.20,-0.95%
"Jun 10, 2004",1136.50,1131.30,1136.50,1131.30,0.46%
"Jun 14, 2004",1125.30,1136.50,1136.50,1122.20,-0.99%
"Jun 15, 2004",1132.00,1125.30,1137.40,1125.30,0.60%
"Jun 16, 2004",1133.60,1132.00,1135.30,1130.50,0.14%
"Jun 17, 2004",1132.00,1133.60,1133.60,1126.90,-0.14%
"Jun 18, 2004",1135.00,1132.00,1139.10,1129.80,0.27%
"Jun 21, 2004",1130.30,1135.00,1138.00,1129.60,-0.41%
"Jun 22, 2004",1134.40,1130.30,1135.00,1124.40,0.36%
"Jun 23, 2004",1144.10,1134.40,1145.20,1131.70,0.86%
"Jun 24, 2004",1140.70,1144.10,1146.30,1139.90,-0.30%
"Jun 25, 2004",1134.40,1140.70,1146.00,1134.20,-0.55%
"Jun 28, 2004",1133.30,1134.40,1142.60,1131.60,-0.10%
"Jun 29, 2004",1136.20,1133.30,1138.30,1131.80,0.26%
"Jun 30, 2004",1140.80,1136.20,1144.20,1133.60,0.40%
"Jul 01, 2004",1128.90,1140.80,1140.80,1123.10,-1.04%
"Jul 02, 2004",1125.40,1128.90,1129.20,1123.30,-0.31%
"Jul 06, 2004",1116.20,1125.40,1125.40,1113.20,-0.82%
"Jul 07, 2004",1118.30,1116.20,1122.40,1114.90,0.19%
"Jul 08, 2004",1109.10,1118.30,1119.10,1108.70,-0.82%
"Jul 09, 2004",1112.80,1109.10,1115.60,1109.10,0.33%
"Jul 12, 2004",1114.30,1112.80,1116.10,1106.70,0.13%
"Jul 13, 2004",1115.10,1114.30,1116.30,1113.00,0.07%
"Jul 14, 2004",1111.50,1115.10,1119.60,1107.80,-0.32%
"Jul 15, 2004",1106.70,1111.50,1114.70,1106.60,-0.43%
"Jul 16, 2004",1101.40,1106.70,1112.20,1101.10,-0.48%
"Jul 19, 2004",1100.90,1101.40,1105.50,1096.50,-0.05%
"Jul 20, 2004",1108.70,1100.90,1108.90,1099.10,0.71%
"Jul 21, 2004",1093.90,1108.70,1116.30,1093.90,-1.33%
"Jul 22, 2004",1096.80,1093.90,1099.70,1084.20,0.27%
"Jul 23, 2004",1086.20,1096.80,1096.80,1083.50,-0.97%
"Jul 26, 2004",1084.10,1086.20,1089.80,1078.80,-0.19%
"Jul 27, 2004",1094.80,1084.10,1096.70,1084.10,0.99%
"Jul 28, 2004",1095.40,1094.80,1098.80,1082.20,0.05%
"Jul 29, 2004",1100.40,1095.40,1103.70,1095.40,0.46%
"Jul 30, 2004",1101.70,1100.40,1103.70,1097.00,0.12%
"Aug 02, 2004",1106.60,1101.70,1108.60,1097.30,0.44%
"Aug 03, 2004",1099.70,1106.60,1106.60,1099.20,-0.62%
"Aug 04, 2004",1098.60,1099.70,1102.50,1092.40,-0.10%
"Aug 05, 2004",1080.70,1098.60,1098.80,1080.00,-1.63%
"Aug 06, 2004",1064.00,1080.70,1080.70,1062.20,-1.55%
"Aug 09, 2004",1065.20,1064.00,1069.50,1064.00,0.11%
"Aug 10, 2004",1079.00,1065.20,1079.00,1065.20,1.30%
"Aug 11, 2004",1075.80,1079.00,1079.00,1065.90,-0.30%
"Aug 12, 2004",1063.20,1075.80,1075.80,1062.80,-1.17%
"Aug 13, 2004",1064.80,1063.20,1067.60,1060.70,0.15%
"Aug 16, 2004",1079.30,1064.80,1080.70,1064.80,1.36%
"Aug 17, 2004",1081.70,1079.30,1087.00,1079.30,0.22%
"Aug 18, 2004",1095.20,1081.70,1095.20,1078.90,1.25%
"Aug 19, 2004",1091.20,1095.20,1095.20,1086.30,-0.37%
"Aug 20, 2004",1098.30,1091.20,1100.30,1089.60,0.65%
"Aug 23, 2004",1095.70,1098.30,1101.40,1094.70,-0.24%
"Aug 24, 2004",1096.20,1095.70,1100.90,1092.80,0.05%
"Aug 25, 2004",1105.00,1096.20,1106.30,1093.20,0.80%
"Aug 26, 2004",1105.10,1105.00,1106.80,1102.40,0.01%
"Aug 27, 2004",1107.80,1105.10,1109.70,1104.60,0.24%
"Aug 30, 2004",1099.20,1107.80,1107.80,1099.20,-0.78%
"Aug 31, 2004",1104.20,1099.20,1104.20,1094.70,0.45%
"Sep 01, 2004",1105.90,1104.20,1109.20,1099.10,0.15%
"Sep 02, 2004",1118.30,1105.90,1119.10,1105.60,1.12%
"Sep 03, 2004",1113.60,1118.30,1120.80,1113.60,-0.42%
"Sep 07, 2004",1121.30,1113.60,1124.10,1113.60,0.69%
"Sep 08, 2004",1116.30,1121.30,1123.00,1116.30,-0.45%
"Sep 09, 2004",1118.40,1116.30,1121.30,1113.60,0.19%
"Sep 10, 2004",1123.90,1118.40,1125.30,1114.40,0.49%
"Sep 13, 2004",1125.80,1123.90,1129.80,1123.30,0.17%
"Sep 14, 2004",1128.30,1125.80,1129.50,1124.70,0.22%
